Sr No,Date dd/mm/yyyy,Year,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,Investment Type,Amount (in '000)
515,11/27/2017,2017,Edelweiss,Fin-Tech,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,270000000
516,11/27/2017,2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Angel Funding,39000
517,11/27/2017,2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,3800000
518,11/28/2017,2017,Chumbak,Software,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,13000000
519,11/28/2017,2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt,1500000
520,11/28/2017,2017,MobieFit,Health and wellness,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Angel Funding,1350000
521,11/28/2017,2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,2000000
522,03/10/2017,2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Round,Undisclosed
523,03/10/2017,2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Round,Undisclosed
524,03/10/2017,2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,110000000
525,04/10/2017,2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Round,Undisclosed
526,04/10/2017,2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Round,306000
527,04/10/2017,2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,38700000
528,05/10/2017,2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000
529,05/10/2017,2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Round,450000
530,05/10/2017,2017,Zefo,E-commerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000
531,06/10/2017,2017,Yaantra,E-commerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,3100000
532,06/10/2017,2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000
533,06/10/2017,2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000
534,06/10/2017,2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,2000000
535,09/10/2017,2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Round,Undisclosed
536,09/10/2017,2017,MyGubbi,E-commerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000
537,09/10/2017,2017,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Round,Undisclosed
538,09/10/2017,2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,Undisclosed
539,09/10/2017,2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Round,336000
540,09/10/2017,2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Round,Undisclosed
541,10/10/2017,2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,1400000
542,10/10/2017,2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4500000
543,11/10/2017,2017,Meesho,E-commerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000
544,11/10/2017,2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,1100000
545,12/10/2017,2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Round,235000
546,10/13/2017,2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,77000000
547,10/13/2017,2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Round,250000
548,10/13/2017,2017,Chaayos,E-commerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,2000000
549,10/16/2017,2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000
550,10/16/2017,2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,9200000
551,10/17/2017,2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,7000000
552,10/18/2017,2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,7000000
553,10/18/2017,2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,Undisclosed
554,10/18/2017,2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,7700000
555,10/18/2017,2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Round,500000
556,10/23/2017,2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000
557,10/23/2017,2017,RAW Pressery,Food-Tech,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000
558,10/23/2017,2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt,3100000
559,10/23/2017,2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Round,118000
560,10/24/2017,2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Round,Undisclosed
561,10/24/2017,2017,FYRE,Food-Tech,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Round,500000
562,10/24/2017,2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000
563,10/24/2017,2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Round,722000
564,10/24/2017,2017,Chevon,Food-Tech,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,Undisclosed
565,10/25/2017,2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Round,Undisclosed
566,10/25/2017,2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Round,550000
567,10/26/2017,2017,Big Basket,E-commerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,5000000
568,10/27/2017,2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt,3800000
569,10/27/2017,2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Round,Undisclosed
570,10/28/2017,2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Round,120000
571,10/28/2017,2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,7700000
572,10/30/2017,2017,GoldFarm,Food-Tech,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000
573,10/31/2017,2017,NetMeds,E-commerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,14000000
574,10/31/2017,2017,MSE,Fin-Tech,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32000000
575,01/09/2017,2017,Aahaa Stores,E-commerce,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,1000000
576,01/09/2017,2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000
577,01/09/2017,2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,1300000
578,04/09/2017,2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000
579,05/09/2017,2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000
580,05/09/2017,2017,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Round,600000
581,06/09/2017,2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahemadabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000
582,06/09/2017,2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000
583,06/09/2017,2017,OncoStem,Health and wellness,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000
584,06/09/2017,2017,Power2SME,E-commerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000
585,07/09/2017,2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,5000000
586,07/09/2017,2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,Undisclosed
587,07/09/2017,2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000
588,07/09/2017,2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt,780000
589,07/09/2017,2017,MamaEarth,E-commerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Round,Undisclosed
590,07/09/2017,2017,Seniority,E-commerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,1000000
591,08/09/2017,2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt,6900000
592,08/09/2017,2017,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Round,Undisclosed
593,11/09/2017,2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,30000000
594,11/09/2017,2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000
595,12/09/2017,2017,Sattviko,E-commerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Round,Undisclosed
596,12/09/2017,2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Round,100000
597,12/09/2017,2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000
598,12/09/2017,2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000
599,9/13/2017,2017,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Round,Undisclosed
600,9/13/2017,2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,2000000
601,9/13/2017,2017,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,10000000
602,9/13/2017,2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000
603,9/13/2017,2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Round,780000
604,9/14/2017,2017,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Round,Undisclosed
605,9/14/2017,2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,44000000
606,9/14/2017,2017,WheelStreet,Software,Bike Rental Platform,Bangalore,Y Combinator,Seed Round,120000
607,9/14/2017,2017,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,Undisclosed
608,9/18/2017,2017,The Moms Co,E-commerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,1000000
609,9/19/2017,2017,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Round,Undisclosed
610,9/19/2017,2017,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000
611,9/20/2017,2017,HWell24 Plus,Health and wellness,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Round,Undisclosed
612,9/21/2017,2017,SaveBC,Fin-Tech,financial services firm,Gaya,Incofin Investment Management.,Private Equity,6000000
613,9/21/2017,2017,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,Private Equity,Undisclosed
614,9/21/2017,2017,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,Undisclosed
615,9/21/2017,2017,Homergize,E-commerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,1000000
616,9/22/2017,2017,Yatra.com,E-commerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt,15400000
617,9/22/2017,2017,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bangalore,InnoVen Capital,Private Equity,Undisclosed
618,9/25/2017,2017,Vogo,Consumer Internet,Scooter Rental Platform,Bangalore,AV Thomas Group,Seed Round,Undisclosed
619,9/25/2017,2017,Synup,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000
620,9/25/2017,2017,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,Undisclosed
621,9/25/2017,2017,Cropin,Technology,Crop Technology Solutions,Bangalore,Beenext,Private Equity,Undisclosed
622,9/25/2017,2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed Round,422000
623,9/25/2017,2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Round,150000
624,9/26/2017,2017,Credifiable,Consumer Internet,Online consumer lending platform,Bangalore,Kae Capital,Private Equity,Undisclosed
625,9/26/2017,2017,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Round,Undisclosed
626,9/26/2017,2017,Multibhashi,Consumer Internet,Language learning Mobile App,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Round,Undisclosed
627,9/27/2017,2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000
628,9/27/2017,2017,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,Undisclosed
629,9/27/2017,2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000
630,9/27/2017,2017,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed Round,Undisclosed
631,9/27/2017,2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Round,300000
632,9/28/2017,2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,1000000
633,01/08/2017,2017,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,1300000
634,02/08/2017,2017,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,Undisclosed
635,02/08/2017,2017,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Round,Undisclosed
636,02/08/2017,2017,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Round,500000
637,02/08/2017,2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Round,850000
638,03/08/2017,2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Round,300000
639,03/08/2017,2017,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Round,Undisclosed
640,03/08/2017,2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,Undisclosed
641,03/08/2017,2017,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,Undisclosed
642,04/08/2017,2017,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,Undisclosed
643,04/08/2017,2017,CoutLoot,E-commerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Round,Undisclosed
644,04/08/2017,2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Round,Undisclosed
645,05/08/2017,2017,Curatio,Health and wellness,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,Undisclosed
646,08/08/2017,2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Round,243000
647,08/08/2017,2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Round,220000
648,09/08/2017,2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Round,3100000
649,09/08/2017,2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Round,783000
650,09/08/2017,2017,DoodhWala,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,Seed Round,Undisclosed
651,10/08/2017,2017,Stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,Undisclosed
652,11/08/2017,2017,Flipkart,E-commerce,Online Marketplace,Bangalore,Softbank,Private Equity,2500000000
653,11/08/2017,2017,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,Undisclosed
654,11/08/2017,2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,36000000
655,8/14/2017,2017,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,Undisclosed
656,8/14/2017,2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Round,312000
657,8/15/2017,2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Round,385000
658,8/17/2017,2017,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Round,Undisclosed
659,8/20/2017,2017,Rootefy,E-commerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Round,187000
660,8/21/2017,2017,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,6800000
661,8/21/2017,2017,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Round,734000
662,8/22/2017,2017,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Round,Undisclosed
663,8/22/2017,2017,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Round,Undisclosed
664,8/23/2017,2017,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Round,Undisclosed
665,8/23/2017,2017,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000
666,8/23/2017,2017,Bombay Shaving Company,E-commerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,2300000
667,8/23/2017,2017,Awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Round,Undisclosed
668,8/23/2017,2017,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Round,500000
669,8/24/2017,2017,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000
670,8/25/2017,2017,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Round,750000
671,8/25/2017,2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Round,125000
672,8/28/2017,2017,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000
673,8/29/2017,2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000
674,8/29/2017,2017,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Round,750000
675,8/29/2017,2017,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt,Undisclosed
676,8/30/2017,2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000
677,8/30/2017,2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000
678,01/07/2017,2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Round,1000000
679,03/07/2017,2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahemadabad,"Infuse Ventures, JLL",Private Equity,2600000
680,04/07/2017,2017,Droom,E-commerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000
681,05/07/2017,2017,Jumbotail,E-commerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000
682,05/07/2017,2017,Moglix,E-commerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000
683,05/07/2017,2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1000000
684,06/07/2017,2017,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Round,Undisclosed
685,06/07/2017,2017,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,N/A,Seed Round,Undisclosed
686,07/07/2017,2017,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Round,1000000
687,07/07/2017,2017,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Round,Undisclosed
688,10/07/2017,2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000
689,11/07/2017,2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000
690,11/07/2017,2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Round,464000
691,11/07/2017,2017,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Round,Undisclosed
692,12/07/2017,2017,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000
693,12/07/2017,2017,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,Undisclosed
694,12/07/2017,2017,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Round,Undisclosed
695,12/07/2017,2017,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Round,Undisclosed
696,7/14/2017,2017,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Round,540000
697,7/14/2017,2017,Chumbak,E-commerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000
698,7/17/2017,2017,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Round,2000000
699,7/17/2017,2017,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000
700,7/18/2017,2017,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,Undisclosed
