ORDERNUMBER,ORDER DATE,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CITY,COUNTRY,DEALSIZE
10271,11/11/2014,25,69.28,11,173200,1054,Shipped,Trucks and Buses,S18_2432,San Rafael,USA,Small
10281,11/30/2016,29,57.73,7,167417,1025,Shipped,Trucks and Buses,S18_2432,Allentown,USA,Small
10291,11/30/2016,26,57.73,2,150098,1006,Shipped,Trucks and Buses,S18_2432,Boras,Sweden,Small
10305,11/30/2016,41,53.48,11,219268,972,Shipped,Trucks and Buses,S18_2432,Cambridge,USA,Small
10313,11/30/2016,34,52.87,5,179758,964,Shipped,Trucks and Buses,S18_2432,Vancouver,Canada,Small
10322,6/12/2015,35,61.21,11,214235,952,Shipped,Trucks and Buses,S18_2432,Nashua,USA,Small
10334,6/12/2015,34,61.38,1,208692,938,On Hold,Trucks and Buses,S18_2432,Lule,Sweden,Small
10347,6/12/2015,50,136.69,8,683450,929,Shipped,Trucks and Buses,S18_2432,Melbourne,Australia,Medium
10357,6/12/2015,41,61.99,7,254159,919,Shipped,Trucks and Buses,S18_2432,San Rafael,USA,Small
10370,6/12/2015,22,96.86,7,213092,879,Shipped,Trucks and Buses,S18_2432,North Sydney,Australia,Small
10391,6/12/2015,44,38.5,5,169400,831,Shipped,Trucks and Buses,S18_2432,North Sydney,Australia,Small
10412,6/12/2015,47,61.99,11,291353,777,Shipped,Trucks and Buses,S18_2432,Madrid,Spain,Small
10425,8/19/2014,19,49.22,10,93518,750,In Process,Trucks and Buses,S18_2432,Nantes,France,Small
10106,8/19/2014,34,90.39,2,307326,1585,Shipped,Planes,S18_2581,Bergamo,Italy,Medium
10120,8/19/2014,29,71.81,8,208249,1515,Shipped,Planes,S18_2581,Melbourne,Australia,Small
10133,8/19/2014,49,69.27,3,339423,1457,Shipped,Planes,S18_2581,Madrid,Spain,Medium
10145,8/19/2014,30,85.32,14,255960,1399,Shipped,Planes,S18_2581,Pasadena,USA,Small
10168,6/26/2017,21,70.96,9,149016,1336,Shipped,Planes,S18_2581,Burlingame,USA,Small
10210,6/26/2017,50,76.88,7,384400,1261,Shipped,Planes,S18_2581,Osaka,Japan,Medium
10223,7/23/2017,47,100.53,9,472491,1223,Shipped,Planes,S18_2581,Melbourne,Australia,Medium
10235,12/18/2014,24,76.03,3,182472,1183,Shipped,Planes,S18_2581,Tsawassen,Canada,Small
10250,12/18/2014,27,98.84,4,266868,1145,Shipped,Planes,S18_2581,San Jose,USA,Small
10263,5/22/2014,33,86.17,10,284361,1098,Shipped,Planes,S18_2581,Bridgewater,USA,Small
10275,9/19/2017,35,90.39,9,316365,1074,Shipped,Planes,S18_2581,Nantes,France,Medium
10284,10/12/2016,31,71.81,1,222611,1046,Shipped,Planes,S18_2581,Oslo,Norway,Small
10297,10/12/2016,25,82.79,4,206975,1021,Shipped,Planes,S18_2581,Dublin,Ireland,Small
10308,10/1/2016,27,82.79,7,223533,993,Shipped,Planes,S18_2581,White Plains,USA,Small
10318,10/1/2016,31,100.53,9,311643,976,Shipped,Planes,S18_2581,Allentown,USA,Medium
10327,10/1/2016,45,106.26,8,478170,969,Resolved,Planes,S18_2581,Kobenhavn,Denmark,Medium
10339,10/1/2016,27,104.1,2,281070,957,Shipped,Planes,S18_2581,Minato-ku,Japan,Small
10353,10/1/2016,27,130.21,1,351567,947,Shipped,Planes,S18_2581,Glendale,USA,Medium
10374,10/1/2016,42,69.27,2,290934,888,Shipped,Planes,S18_2581,South Brisbane,Australia,Small
10386,10/1/2016,21,74.77,18,157017,861,Resolved,Planes,S18_2581,Madrid,Spain,Small
10398,6/6/2014,34,76.88,15,261392,833,Shipped,Planes,S18_2581,Reims,France,Small
10401,6/6/2014,42,76.03,3,319326,830,On Hold,Planes,S18_2581,Newark,USA,Medium
10416,6/6/2014,15,98.84,4,148260,794,Shipped,Planes,S18_2581,Reggio Emilia,Italy,Small
10107,9/4/2017,29,70.87,6,205523,1601,Shipped,Motorcycles,S18_2625,NYC,USA,Small
10120,9/4/2017,46,58.15,4,267490,1538,Shipped,Motorcycles,S18_2625,Melbourne,Australia,Small
10134,9/4/2017,30,61.78,6,185340,1476,Shipped,Motorcycles,S18_2625,Paris,France,Small
10145,4/18/2014,30,49.67,10,149010,1422,Shipped,Motorcycles,S18_2625,Pasadena,USA,Small
10168,5/6/2016,46,61.18,5,281428,1359,Shipped,Motorcycles,S18_2625,Burlingame,USA,Small
10180,5/6/2016,25,64.2,13,160500,1346,Shipped,Motorcycles,S18_2625,Lille,France,Small
10188,5/6/2016,32,65.42,5,209344,1340,Shipped,Motorcycles,S18_2625,Bergen,Norway,Small
10210,5/6/2016,40,49.67,3,198680,1286,Shipped,Motorcycles,S18_2625,Osaka,Japan,Small
10223,6/23/2017,28,60.57,5,169596,1248,Shipped,Motorcycles,S18_2625,Melbourne,Australia,Small
10236,6/23/2017,23,55.72,2,128156,1207,Shipped,Motorcycles,S18_2625,Philadelphia,USA,Small
10251,11/11/2014,29,61.18,6,177422,1163,Shipped,Motorcycles,S18_2625,Newark,USA,Small
10263,3/30/2015,34,58.75,6,199750,1123,Shipped,Motorcycles,S18_2625,Bridgewater,USA,Small
10275,1/20/2017,37,63.6,5,235320,1099,Shipped,Motorcycles,S18_2625,Nantes,France,Small
10285,1/20/2017,20,49.06,10,98120,1065,Shipped,Motorcycles,S18_2625,Cambridge,USA,Small
10298,1/20/2017,32,48.46,2,155072,1035,Shipped,Motorcycles,S18_2625,Nantes,France,Small
10308,1/20/2017,34,52.09,3,177106,1018,Shipped,Motorcycles,S18_2625,White Plains,USA,Small
10318,1/20/2017,42,52.7,5,221340,1001,Shipped,Motorcycles,S18_2625,Allentown,USA,Small
10329,1/20/2017,38,138.58,12,526604,989,Shipped,Motorcycles,S18_2625,NYC,USA,Medium
10339,1/20/2017,30,62.16,1,186480,982,Shipped,Motorcycles,S18_2625,Minato-ku,Japan,Small
10362,1/20/2017,23,49.67,3,114241,940,Shipped,Motorcycles,S18_2625,Burlingame,USA,Small
10374,3/28/2015,22,53.3,4,117260,913,Shipped,Motorcycles,S18_2625,South Brisbane,Australia,Small
10389,3/28/2015,39,179,5,698100,884,Shipped,Motorcycles,S18_2625,Boras,Sweden,Medium
10402,11/3/2014,55,55.72,2,306460,850,Shipped,Motorcycles,S18_2625,Paris,France,Medium
10417,11/3/2014,36,61.18,6,220248,815,Disputed,Motorcycles,S18_2625,Madrid,Spain,Small
10101,11/3/2014,26,145.13,1,377338,1671,Shipped,Vintage Cars,S18_2795,Frankfurt,Germany,Medium
10110,10/6/2017,31,163.69,1,507439,1604,Shipped,Vintage Cars,S18_2795,Manchester,UK,Medium
10125,10/6/2017,34,190.69,2,648346,1541,Shipped,Vintage Cars,S18_2795,Melbourne,Australia,Medium
10139,12/14/2016,41,194.06,8,795646,1486,Shipped,Vintage Cars,S18_2795,Chatswood,Australia,Large
10149,9/24/2016,23,183.94,5,423062,1429,Shipped,Vintage Cars,S18_2795,Brisbane,USA,Medium
10173,1/5/2016,22,156.94,7,345268,1376,Shipped,Vintage Cars,S18_2795,Bergamo,Italy,Medium
10182,4/21/2017,21,145.13,4,304773,1370,Shipped,Vintage Cars,S18_2795,San Rafael,USA,Medium
10193,4/21/2017,22,167.06,8,367532,1362,Shipped,Vintage Cars,S18_2795,Glen Waverly,Australia,Medium
10205,4/21/2017,40,187.31,3,749240,1351,Shipped,Vintage Cars,S18_2795,Madrid,Spain,Large
10214,8/25/2016,50,190.69,1,953450,1298,Shipped,Vintage Cars,S18_2795,Madrid,Spain,Large
10227,5/31/2015,29,192.38,4,557902,1264,Shipped,Vintage Cars,S18_2795,Lyon,France,Medium
10244,8/13/2014,43,138.38,8,595034,1207,Shipped,Vintage Cars,S18_2795,Madrid,Spain,Medium
10255,8/13/2014,24,155.25,1,372600,1172,Shipped,Vintage Cars,S18_2795,Strasbourg,France,Medium
10280,4/8/2014,22,202.5,10,445500,1099,Shipped,Vintage Cars,S18_2795,Torino,Italy,Medium
10289,4/8/2014,43,192.38,3,827234,1083,Shipped,Vintage Cars,S18_2795,Bergen,Norway,Large
10304,4/8/2014,20,178.88,14,357760,1046,Shipped,Vintage Cars,S18_2795,Versailles,France,Medium
10312,1/27/2014,25,155.25,11,388125,1037,Shipped,Vintage Cars,S18_2795,San Rafael,USA,Medium
10322,10/15/2017,36,161.04,2,579744,1024,Shipped,Vintage Cars,S18_2795,Nashua,USA,Medium
10332,8/12/2015,24,52.67,1,126408,1012,Shipped,Vintage Cars,S18_2795,Manchester,UK,Small
10347,3/20/2017,21,229.3,6,481530,1001,Shipped,Vintage Cars,S18_2795,Melbourne,Australia,Medium
10356,7/28/2016,30,148.74,1,446220,992,Shipped,Vintage Cars,S18_2795,Paris,France,Medium
10367,7/28/2016,32,94.79,7,303328,959,Resolved,Vintage Cars,S18_2795,Pasadena,USA,Medium
10380,7/28/2016,21,47.18,8,99078,925,Shipped,Vintage Cars,S18_2795,Madrid,Spain,Small
10390,7/28/2016,26,78.11,7,203086,909,Shipped,Vintage Cars,S18_2795,San Rafael,USA,Small
10421,7/28/2016,35,155.25,1,543375,824,In Process,Vintage Cars,S18_2795,San Rafael,USA,Medium
10109,10/1/2014,26,121.44,1,315744,1636,Shipped,Classic Cars,S18_2870,Philadelphia,USA,Medium
10123,6/20/2014,46,112.2,3,516120,1566,Shipped,Classic Cars,S18_2870,Nantes,France,Medium
10137,6/10/2016,37,117.48,3,434676,1516,Shipped,Classic Cars,S18_2870,Reims,France,Medium
10148,6/10/2016,27,130.68,10,352836,1454,Shipped,Classic Cars,S18_2870,North Sydney,Australia,Medium
10161,4/3/2014,23,138.6,9,318780,1419,Shipped,Classic Cars,S18_2870,Aaarhus,Denmark,Medium
10172,8/25/2017,39,154.44,7,602316,1401,Shipped,Classic Cars,S18_2870,Bridgewater,USA,Medium
10181,8/25/2017,27,143.88,3,388476,1395,Shipped,Classic Cars,S18_2870,Bergen,Norway,Medium
10192,8/25/2017,38,130.68,8,496584,1388,Shipped,Classic Cars,S18_2870,Nashua,USA,Medium
10204,11/18/2014,27,154.44,14,416988,1377,Shipped,Classic Cars,S18_2870,NYC,USA,Medium
10212,11/18/2014,40,122.76,7,491040,1333,Shipped,Classic Cars,S18_2870,Madrid,Spain,Medium
10226,9/15/2015,24,134.64,5,323136,1293,Shipped,Classic Cars,S18_2870,San Diego,USA,Medium
10241,9/15/2015,44,155.76,12,685344,1248,Shipped,Classic Cars,S18_2870,Strasbourg,France,Medium
10253,9/15/2015,37,139.92,2,517704,1200,Cancelled,Classic Cars,S18_2870,Liverpool,UK,Medium
10266,9/15/2015,20,141.24,3,282480,1166,Shipped,Classic Cars,S18_2870,Reggio Emilia,Italy,Small
10278,9/15/2015,39,110.88,3,432432,1136,Shipped,Classic Cars,S18_2870,Las Vegas,USA,Medium
10287,9/15/2015,44,114.84,1,505296,1113,Shipped,Classic Cars,S18_2870,Gensve,Switzerland,Medium
10301,4/9/2014,22,146.52,5,322344,1443,Shipped,Classic Cars,S18_2870,Oslo,Norway,Medium
10311,10/12/2015,43,122.76,10,527868,1068,Shipped,Classic Cars,S18_2870,Madrid,Spain,Medium
10321,10/12/2015,27,105.6,7,285120,1050,Shipped,Classic Cars,S18_2870,New Bedford,USA,Small
10331,1/31/2017,26,64.9,10,168740,1038,Shipped,Classic Cars,S18_2870,Philadelphia,USA,Small
10343,1/31/2017,25,52.32,3,130800,1032,Shipped,Classic Cars,S18_2870,Reims,France,Small
10366,1/31/2017,49,125.4,2,614460,986,Shipped,Classic Cars,S18_2870,Charleroi,Belgium,Medium
10379,1/31/2017,29,176.8,5,512720,956,Shipped,Classic Cars,S18_2870,Madrid,Spain,Medium
10407,9/29/2015,41,155.76,12,638616,885,On Hold,Classic Cars,S18_2870,San Jose,USA,Medium
10419,3/19/2016,55,139.92,2,769560,861,Shipped,Classic Cars,S18_2870,Salzburg,Austria,Large
10103,3/19/2016,27,83.07,12,224289,1701,Shipped,Vintage Cars,S18_2949,Stavern,Norway,Small
10112,11/30/2014,23,110.43,2,253989,1648,Shipped,Vintage Cars,S18_2949,Lule,Sweden,Small
10126,5/10/2017,31,90.17,12,279527,1584,Shipped,Vintage Cars,S18_2949,Madrid,Spain,Small
10139,3/23/2015,46,120.56,1,554576,1536,Shipped,Vintage Cars,S18_2949,Chatswood,Australia,Medium
10150,3/23/2015,47,91.18,9,428546,1472,Shipped,Vintage Cars,S18_2949,Singapore,Singapore,Medium
10163,3/23/2015,31,107.39,2,332909,1442,Shipped,Vintage Cars,S18_2949,NYC,USA,Medium
10174,3/23/2015,46,121.57,5,559222,1426,Shipped,Vintage Cars,S18_2949,South Brisbane,Australia,Medium
10183,3/23/2015,37,89.15,9,329855,1420,Shipped,Vintage Cars,S18_2949,Philadelphia,USA,Medium
10193,9/4/2016,28,93.21,1,260988,1413,Shipped,Vintage Cars,S18_2949,Glen Waverly,Australia,Small
10206,9/4/2016,37,90.17,7,333629,1400,Shipped,Vintage Cars,S18_2949,Vancouver,Canada,Medium
10215,11/17/2015,49,112.45,4,551005,1346,Shipped,Vintage Cars,S18_2949,Burbank,USA,Medium
10228,11/17/2015,24,104.35,3,250440,1307,Shipped,Vintage Cars,S18_2949,Cambridge,USA,Small
10244,11/17/2015,30,117.52,1,352560,1258,Shipped,Vintage Cars,S18_2949,Madrid,Spain,Medium
10257,7/14/2014,50,88.14,1,440700,1213,Shipped,Vintage Cars,S18_2949,San Jose,USA,Medium
10270,4/12/2016,31,96.24,10,298344,1179,Shipped,Vintage Cars,S18_2949,Chatswood,Australia,Small
10280,4/12/2016,46,111.44,3,512624,1151,Shipped,Vintage Cars,S18_2949,Torino,Italy,Medium
10291,6/28/2017,47,121.57,12,571379,1130,Shipped,Vintage Cars,S18_2949,Boras,Sweden,Medium
10304,6/6/2016,46,100.3,7,461380,1098,Shipped,Vintage Cars,S18_2949,Versailles,France,Medium
10312,12/17/2016,37,100.3,4,371110,1089,Shipped,Vintage Cars,S18_2949,San Rafael,USA,Medium
10322,12/17/2016,33,106.81,12,352473,1076,Shipped,Vintage Cars,S18_2949,Nashua,USA,Medium
10347,12/17/2016,48,100.3,9,481440,1052,Shipped,Vintage Cars,S18_2949,Melbourne,Australia,Medium
10357,11/30/2017,41,87.13,6,357233,1042,Shipped,Vintage Cars,S18_2949,San Rafael,USA,Medium
10369,1/3/2015,42,109.08,1,458136,1002,Shipped,Vintage Cars,S18_2949,Brickhaven,USA,Medium
10391,1/3/2015,32,45.25,6,144800,954,Shipped,Vintage Cars,S18_2949,North Sydney,Australia,Small
10423,4/17/2015,10,88.14,1,88140,873,In Process,Vintage Cars,S18_2949,Bruxelles,Belgium,Small
10103,3/6/2014,35,57.46,14,201110,1726,Shipped,Vintage Cars,S18_2957,Stavern,Norway,Small
10126,3/6/2014,46,73.7,14,339020,1608,Shipped,Vintage Cars,S18_2957,Madrid,Spain,Medium
10139,6/3/2017,20,71.2,3,142400,1560,Shipped,Vintage Cars,S18_2957,Chatswood,Australia,Small
10150,6/3/2017,30,49.97,11,149910,1496,Shipped,Vintage Cars,S18_2957,Singapore,Singapore,Small
10163,6/3/2017,48,69.96,4,335808,1466,Shipped,Vintage Cars,S18_2957,NYC,USA,Medium
10173,6/3/2017,28,53.72,2,150416,1451,Shipped,Vintage Cars,S18_2957,Bergamo,Italy,Small
10183,6/3/2017,39,68.08,11,265512,1444,Shipped,Vintage Cars,S18_2957,Philadelphia,USA,Small
10193,12/16/2015,24,51.84,3,124416,1437,Shipped,Vintage Cars,S18_2957,Glen Waverly,Australia,Small
10206,12/16/2015,28,67.46,9,188888,1424,Shipped,Vintage Cars,S18_2957,Vancouver,Canada,Small
10215,12/16/2015,31,58.71,6,182001,1370,Shipped,Vintage Cars,S18_2957,Burbank,USA,Small
10228,12/16/2015,45,63.71,5,286695,1331,Shipped,Vintage Cars,S18_2957,Cambridge,USA,Small
10244,11/17/2014,24,58.09,3,139416,1282,Shipped,Vintage Cars,S18_2957,Madrid,Spain,Small
10257,11/17/2014,49,53.72,3,263228,1237,Shipped,Vintage Cars,S18_2957,San Jose,USA,Small
10269,11/17/2014,32,63.08,1,201856,1206,Shipped,Vintage Cars,S18_2957,Salzburg,Austria,Small
10280,10/11/2017,43,68.71,5,295453,1175,Shipped,Vintage Cars,S18_2957,Torino,Italy,Small
10291,9/18/2017,37,50.59,14,187183,1154,Shipped,Vintage Cars,S18_2957,Boras,Sweden,Small
10304,3/22/2015,24,64.96,9,155904,1122,Shipped,Vintage Cars,S18_2957,Versailles,France,Small
10312,3/22/2015,35,53.72,6,188020,1113,Shipped,Vintage Cars,S18_2957,San Rafael,USA,Small
10322,7/26/2015,41,29.87,13,122467,1100,Shipped,Vintage Cars,S18_2957,Nashua,USA,Small
10332,12/10/2016,26,114.58,17,297908,1088,Shipped,Vintage Cars,S18_2957,Manchester,UK,Small
10347,12/10/2016,34,64.96,10,220864,1077,Shipped,Vintage Cars,S18_2957,Melbourne,Australia,Small
10357,12/10/2016,49,70.58,5,345842,1067,Shipped,Vintage Cars,S18_2957,San Rafael,USA,Medium
10369,12/17/2017,28,44.21,6,123788,1027,Shipped,Vintage Cars,S18_2957,Brickhaven,USA,Small
10392,12/17/2017,37,59.96,3,221852,978,Shipped,Vintage Cars,S18_2957,Graz,Austria,Small
10423,12/17/2017,31,53.72,3,166532,898,In Process,Vintage Cars,S18_2957,Bruxelles,Belgium,Small
10106,7/2/2015,41,83.44,18,342104,1732,Shipped,Ships,S18_3029,Bergamo,Italy,Medium
10119,7/2/2015,21,89.46,9,187866,1663,Shipped,Ships,S18_3029,Salzburg,Austria,Small
10130,9/17/2016,40,96.34,2,385360,1615,Shipped,Ships,S18_3029,Brickhaven,USA,Medium
10143,12/10/2016,46,74.84,13,344264,1561,Shipped,Ships,S18_3029,New Bedford,USA,Medium
10155,12/10/2016,44,79.14,11,348216,1505,Shipped,Ships,S18_3029,Helsinki,Finland,Medium
10167,12/10/2016,46,73.12,7,336352,1489,Cancelled,Ships,S18_3029,Boras,Sweden,Medium
10178,12/10/2016,41,81.72,10,335052,1474,Shipped,Ships,S18_3029,Toulouse,France,Medium
10186,12/10/2016,32,89.46,7,286272,1469,Shipped,Ships,S18_3029,London,UK,Small
10197,12/10/2016,46,87.74,4,403604,1458,Shipped,Ships,S18_3029,Barcelona,Spain,Medium
10222,12/10/2016,49,94.62,10,463638,1374,Shipped,Ships,S18_3029,San Diego,USA,Medium
10248,9/9/2015,21,73.98,1,155358,1298,Cancelled,Ships,S18_3029,NYC,USA,Small
10262,8/6/2017,32,84.3,15,269760,1251,Cancelled,Ships,S18_3029,Madrid,Spain,Small
10273,9/28/2016,34,98.06,2,333404,1225,Shipped,Ships,S18_3029,Bruxelles,Belgium,Medium
10283,9/28/2016,21,98.06,4,205926,1196,Shipped,Ships,S18_3029,Tsawassen,Canada,Small
10296,5/23/2015,21,96.34,13,202314,1171,Shipped,Ships,S18_3029,Munich,Germany,Small
10307,5/23/2015,31,83.44,7,258664,1143,Shipped,Ships,S18_3029,Philadelphia,USA,Small
10316,10/3/2016,21,94.62,15,198702,1126,Shipped,Ships,S18_3029,Cowes,UK,Small
10327,11/21/2017,25,45.86,5,114650,1118,Resolved,Ships,S18_3029,Kobenhavn,Denmark,Small
10338,11/21/2017,28,82.58,3,231224,1107,Shipped,Ships,S18_3029,Charleroi,Belgium,Small
10350,1/23/2014,43,64.97,6,279371,1098,Shipped,Ships,S18_3029,Madrid,Spain,Small
10373,3/3/2017,22,86.74,5,190828,1039,Shipped,Ships,S18_3029,Oulu,Finland,Small
10386,3/3/2017,37,93.01,5,344137,1010,Resolved,Ships,S18_3029,Madrid,Spain,Medium
10398,3/3/2017,28,72.26,18,202328,982,Shipped,Ships,S18_3029,Reims,France,Small
10400,5/9/2017,30,74.84,7,224520,981,Shipped,Ships,S18_3029,San Jose,USA,Small
10414,4/15/2015,44,73.98,1,325512,947,On Hold,Ships,S18_3029,Boston,USA,Medium
10103,4/15/2015,25,101.58,13,253950,1776,Shipped,Vintage Cars,S18_3136,Stavern,Norway,Small
10126,4/15/2015,30,97.39,13,292170,1658,Shipped,Vintage Cars,S18_3136,Madrid,Spain,Small
10139,9/20/2016,20,90.06,2,180120,1610,Shipped,Vintage Cars,S18_3136,Chatswood,Australia,Small
10150,9/16/2014,26,107.86,10,280436,1546,Shipped,Vintage Cars,S18_3136,Singapore,Singapore,Small
10163,9/16/2014,40,122.52,3,490080,1516,Shipped,Vintage Cars,S18_3136,NYC,USA,Medium
10173,10/9/2015,31,89.01,1,275931,1501,Shipped,Vintage Cars,S18_3136,Bergamo,Italy,Small
10183,10/9/2015,22,113.1,10,248820,1494,Shipped,Vintage Cars,S18_3136,Philadelphia,USA,Small
10193,4/17/2017,23,120.43,2,276989,1487,Shipped,Vintage Cars,S18_3136,Glen Waverly,Australia,Small
10206,4/17/2017,30,119.38,8,358140,1474,Shipped,Vintage Cars,S18_3136,Vancouver,Canada,Medium
10215,4/17/2017,49,107.86,5,528514,1420,Shipped,Vintage Cars,S18_3136,Burbank,USA,Medium
10228,9/6/2017,31,102.63,4,318153,1381,Shipped,Vintage Cars,S18_3136,Cambridge,USA,Medium
10244,6/24/2016,29,115.19,2,334051,1332,Shipped,Vintage Cars,S18_3136,Madrid,Spain,Medium
10257,6/24/2016,37,84.82,2,313834,1287,Shipped,Vintage Cars,S18_3136,San Jose,USA,Medium
10270,6/24/2016,38,125.66,11,477508,1253,Shipped,Vintage Cars,S18_3136,Chatswood,Australia,Medium
10280,6/24/2016,29,103.67,4,300643,1225,Shipped,Vintage Cars,S18_3136,Torino,Italy,Medium
10291,11/6/2017,23,124.62,13,286626,1204,Shipped,Vintage Cars,S18_3136,Boras,Sweden,Small
10304,12/17/2015,26,85.87,8,223262,1172,Shipped,Vintage Cars,S18_3136,Versailles,France,Small
10312,12/17/2015,38,117.29,5,445702,1163,Shipped,Vintage Cars,S18_3136,San Rafael,USA,Medium
10322,6/20/2016,48,47.04,7,225792,1150,Shipped,Vintage Cars,S18_3136,Nashua,USA,Small
10332,12/20/2016,40,39.8,18,159200,1138,Shipped,Vintage Cars,S18_3136,Manchester,UK,Small
10347,12/20/2016,45,109.96,11,494820,1127,Shipped,Vintage Cars,S18_3136,Melbourne,Australia,Medium
10357,6/3/2015,44,117.29,4,516076,1117,Shipped,Vintage Cars,S18_3136,San Rafael,USA,Medium
10369,6/3/2015,21,94.22,5,197862,1077,Shipped,Vintage Cars,S18_3136,Brickhaven,USA,Small
10392,6/3/2015,29,86.92,2,252068,1028,Shipped,Vintage Cars,S18_3136,Graz,Austria,Small
10423,7/28/2015,21,84.82,2,178122,948,In Process,Vintage Cars,S18_3136,Bruxelles,Belgium,Small
10105,12/2/2017,22,139.32,11,306504,1788,Shipped,Vintage Cars,S18_3140,Kobenhavn,Denmark,Medium
10117,12/2/2017,26,136.59,5,355134,1725,Shipped,Vintage Cars,S18_3140,Singapore,Singapore,Medium
10128,12/2/2017,41,135.22,2,554402,1675,Shipped,Vintage Cars,S18_3140,Madrid,Spain,Medium
10142,12/2/2017,47,128.39,8,603433,1613,Shipped,Vintage Cars,S18_3140,San Rafael,USA,Medium
10153,12/2/2017,31,117.47,7,364157,1563,Shipped,Vintage Cars,S18_3140,Madrid,Spain,Medium
10166,4/7/2017,43,161.18,2,693074,1541,Shipped,Vintage Cars,S18_3140,New Bedford,USA,Medium
10177,1/1/2018,23,159.81,9,367563,1525,Shipped,Vintage Cars,S18_3140,Madrid,Spain,Medium
10185,1/1/2018,28,122.93,9,344204,1519,Shipped,Vintage Cars,S18_3140,New Bedford,USA,Medium
10196,12/4/2017,49,140.69,1,689381,1508,Shipped,Vintage Cars,S18_3140,New Haven,USA,Medium
10208,5/18/2017,24,109.27,9,262248,1472,Shipped,Vintage Cars,S18_3140,Lyon,France,Small
10221,5/18/2017,33,133.86,3,441738,1426,Shipped,Vintage Cars,S18_3140,Bruxelles,Belgium,Medium
10232,5/18/2017,22,163.91,6,360602,1397,Shipped,Vintage Cars,S18_3140,Cowes,UK,Medium
10248,9/22/2015,32,118.83,12,380256,1350,Cancelled,Vintage Cars,S18_3140,NYC,USA,Medium
10273,11/19/2017,40,125.66,13,502640,1276,Shipped,Vintage Cars,S18_3140,Bruxelles,Belgium,Medium
10282,12/1/2015,43,155.71,1,669553,1247,Shipped,Vintage Cars,S18_3140,San Rafael,USA,Medium
10293,9/4/2016,24,117.47,4,281928,1228,Shipped,Vintage Cars,S18_3140,Torino,Italy,Small
10306,9/24/2014,32,117.47,9,375904,1194,Shipped,Vintage Cars,S18_3140,Manchester,UK,Medium
10314,4/11/2017,20,136.59,1,273180,1187,Shipped,Vintage Cars,S18_3140,Aaarhus,Denmark,Small
10325,4/11/2017,24,69.12,9,165888,1174,Shipped,Vintage Cars,S18_3140,Stavern,Norway,Small
10336,4/11/2017,48,120.38,12,577824,1160,Shipped,Vintage Cars,S18_3140,Paris,France,Medium
10350,4/11/2017,44,117.98,1,519112,1149,Shipped,Vintage Cars,S18_3140,Madrid,Spain,Medium
10372,4/11/2017,28,137.96,3,386288,1095,Shipped,Vintage Cars,S18_3140,Minato-ku,Japan,Medium
10383,4/11/2017,24,61.52,9,147648,1069,Shipped,Vintage Cars,S18_3140,Madrid,Spain,Small
10396,1/18/2014,33,159.81,2,527373,1040,Shipped,Vintage Cars,S18_3140,San Rafael,USA,Medium
10414,1/18/2014,41,118.83,12,487203,997,On Hold,Vintage Cars,S18_3140,Boston,USA,Medium
10104,1/18/2014,23,198.13,13,455699,1824,Shipped,Classic Cars,S18_3232,Madrid,Spain,Medium
10109,1/18/2014,46,179.5,5,825700,1787,Shipped,Classic Cars,S18_3232,Philadelphia,USA,Large
10114,10/8/2017,48,171.03,4,820944,1766,Shipped,Classic Cars,S18_3232,Paris,France,Large
10122,10/8/2017,25,143.94,3,359850,1730,Shipped,Classic Cars,S18_3232,Marseille,France,Medium
10127,7/15/2017,22,174.42,15,383724,1705,Shipped,Classic Cars,S18_3232,NYC,USA,Medium
10136,1/10/2017,41,203.21,3,833161,1675,Shipped,Classic Cars,S18_3232,Toulouse,France,Large
10141,5/31/2016,34,142.25,9,483650,1648,Shipped,Classic Cars,S18_3232,Espoo,Finland,Medium
10148,12/12/2015,32,169.34,14,541888,1608,Shipped,Classic Cars,S18_3232,North Sydney,Australia,Medium
10151,10/8/2016,21,177.81,7,373401,1599,Shipped,Classic Cars,S18_3232,Oulu,Finland,Medium
10165,11/14/2014,47,186.27,16,875469,1569,Shipped,Classic Cars,S18_3232,Singapore,Singapore,Large
10171,11/14/2014,39,140.55,3,548145,1556,Shipped,Classic Cars,S18_3232,Montreal,Canada,Medium
10175,11/14/2014,29,152.41,5,441989,1556,Shipped,Classic Cars,S18_3232,London,UK,Medium
10181,10/5/2017,45,140.55,7,632475,1551,Shipped,Classic Cars,S18_3232,Bergen,Norway,Medium
10184,10/5/2017,28,157.49,10,440972,1550,Shipped,Classic Cars,S18_3232,Sevilla,Spain,Medium
10192,10/5/2017,26,150.71,12,391846,1545,Shipped,Classic Cars,S18_3232,Nashua,USA,Medium
10195,3/10/2015,50,152.41,10,762050,1541,Shipped,Classic Cars,S18_3232,White Plains,USA,Large
10203,5/26/2017,48,172.73,1,829104,1535,Shipped,Classic Cars,S18_3232,Madrid,Spain,Large
10207,5/26/2017,25,157.49,11,393725,1529,Shipped,Classic Cars,S18_3232,Boston,USA,Medium
10212,3/31/2015,40,138.86,11,555440,1492,Shipped,Classic Cars,S18_3232,Madrid,Spain,Medium
10225,9/11/2016,43,149.02,2,640786,1456,Shipped,Classic Cars,S18_3232,Gensve,Switzerland,Medium
